Track,Artist(s),Album,Duration(min)
The Weekend - Funk Wav Remix,"SZA, Calvin Harris, Funk Wav",The Weekend (Funk Wav Remix),2.86
We Find Love,Daniel Caesar,Freudian,4.25
Who Hurt You?,Daniel Caesar,Who Hurt You?,3.87
Get You (feat. Kali Uchis),"Daniel Caesar, Kali Uchis",Freudian,4.64
Missin You Crazy,Russ,ZOO,3.78
bellyache,Billie Eilish,Bellyache,2.99
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",Freudian,3.5
Hero,Aminé,Good For You,3.22
Heebiejeebies - Bonus,"Aminé, Kehlani",Good For You,3.67
come out and play,Billie Eilish,come out and play,3.51
Titanic,Russ,Titanic,3.1
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3.27
Spice Girl,Aminé,Good For You,2.9
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2.63
Ivy,Frank Ocean,Blonde,4.15
Dazed & Confused,Ruel,Dazed & Confused,3.16
Wedding Crashers,"Aminé, Offset",Good For You,3.83
&burn (with Vince Staples),"Billie Eilish, Vince Staples",dont smile at me,2.98
Magic In The Hamptons (feat. Lil Yachty),"Social House, Lil Yachty",Magic In The Hamptons (feat. Lil Yachty),2.74
Painkiller,Ruel,Painkiller,3.56
Japanese Denim,Daniel Caesar,Get You - Single,4.51
my boy,Billie Eilish,dont smile at me,2.85
Feel No Ways,Drake,Views,4.01
Someone to Drink With,Russ,Someone to Drink With,3.08
Novacane,Frank Ocean,Novacane,5.04
watch,Billie Eilish,dont smile at me,2.96
Mixed Personalities (feat. Kanye West),"YNW Melly, Kanye West",We All Shine,3.84
Personal,HRVY,Talk To Ya - EP,3.3
Losin Control,Russ,There's Really A Wolf,3.96
Sunset Lover,Petit Biscuit,Sunset Lover,3.96
lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),3.34
Younger,Ruel,Younger,3.71
Sunday Candy,Donnie Trumpet & The Social Experiment,Surf,3.77
So Sick,Ne-Yo,In My Own Words,3.45
COPYCAT,Billie Eilish,dont smile at me,3.25
Young Dumb & Broke,Khalid,American Teen,3.38
Smoke Break (feat. Future),"Chance the Rapper, Future",Coloring Book,3.77
Cherry Hill,Russ,There's Really A Wolf,3.71
idontwannabeyouanymore,Billie Eilish,dont smile at me,3.39
Knock You Down,"Keri Hilson, Kanye West, Ne-Yo",In A Perfect World...,5.44
Thinkin Bout You,Frank Ocean,channel ORANGE,3.35
With You,Chris Brown,Exclusive (Expanded Edition),4.2
hostage,Billie Eilish,dont smile at me,3.82
Let Me Love You,Mario,Let Me Love You,4.28
Juke Jam (feat. Justin Bieber & Towkio),"Chance the Rapper, Justin Bieber, Towkio",Coloring Book,3.66
Passionfruit,Drake,More Life,4.98
ocean eyes,Billie Eilish,dont smile at me,3.34
Miss Independent,Ne-Yo,Year Of The Gentleman (Bonus Track Edition),3.87
Lost,Frank Ocean,channel ORANGE,3.9
What They Want,Russ,There's Really A Wolf,2.76
Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos",Slide (feat. Frank Ocean & Migos),3.85
I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3.67
BLEACH,BROCKHAMPTON,SATURATION III,4.55
Streetcar,Daniel Caesar,Pilgrim's Paradise,4.12
Rollin (feat. Future & Khalid),"Calvin Harris, Future, Khalid, Funk Wav",Funk Wav Bounces Vol.1,4.54
Take A Bow,Rihanna,Good Girl Gone Bad: Reloaded,3.82
Redbone,Childish Gambino,"""Awaken, My Love!""",5.45
Death & Taxes,Daniel Caesar,Pilgrim's Paradise,5.08
Everybody,Logic,Everybody,2.71
Too Good,"Drake, Rihanna",Views,4.39
Sunflower,Rex Orange County,Sunflower,4.2
5 O'Clock (feat. Lily Allen & Wiz Khalifa),"T-Pain, Lily Allen, Wiz Khalifa",Happy Hour: The Greatest Hits,4.67
Safe Inside,James Arthur,Back from the Edge,3.7
Closer,Ne-Yo,Year Of The Gentleman (Bonus Track Edition),3.91
GOLD,BROCKHAMPTON,SATURATION,4.43
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),"T-Pain, Yung Joc",Epiphany,3.8
BedRock,"Young Money, Lloyd",We Are Young Money,4.8
Wherever You Are,5 Seconds of Summer,She Looks So Perfect (B-Sides),3.19
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars","Young, Wild & Free (feat. Bruno Mars)",3.46
2002,Anne-Marie,Speak Your Mind (Deluxe),3.12
Peer Pressure,"James Bay, Julia Michaels",Oh My Messy Mind,2.95
Heartless,Kanye West,808s & Heartbreak,3.52
Hearts Don't Break Around Here,Ed Sheeran,÷ (Deluxe),4.14
SWEET,BROCKHAMPTON,SATURATION II,4.57
Little Things,One Direction,Take Me Home: Yearbook Edition,3.66
Silence,"Marshmello, Khalid",Silence,3.01
Umbrella,"Rihanna, JAY-Z",Good Girl Gone Bad: Reloaded,4.6
short kings anthem,"blackbear, Tiny Meat Gang",short kings anthem,2.65
Half a Heart,One Direction,Midnight Memories (Deluxe),3.14
Pretty Girl Rock,Keri Hilson,No Boys Allowed,4.07
Give Me Love,Ed Sheeran,+,8.77
Six Feet Under,Billie Eilish,Six Feet Under,3.16
18,One Direction,FOUR (Deluxe),4.14
Fall,Justin Bieber,Believe (Deluxe Edition),4.14
For You,James TW,For You,3.39
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,4.45
How Do I Breathe,Mario,Go,3.61
Dead Man Walking,Jon Bellion,Translations Through Speakers,3.28
Summer on You,PRETTYMUCH,Summer on You,3.43
When You Love Someone,James TW,First Impressions,3.61
Cherry Wine - Live,Hozier,Hozier (Expanded Edition),4
Forever,"Drake, Kanye West, Lil Wayne, Eminem",More Than A Game,5.96
Kiss Me Thru The Phone,"Soulja Boy, Sammie",iSouljaBoyTellem,3.22
TiO,ZAYN,Mind Of Mine (Deluxe Edition),2.98
Please Keep Loving Me,James TW,Please Keep Loving Me,3.27
Not Thinkin' Bout You,Ruel,Ready,3.14
Like Real People Do,Hozier,Hozier (Expanded Edition),3.3
Best I Ever Had,Drake,Thank Me Later (Int'l Version),4.31
bury a friend,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3.22
Pink + White,Frank Ocean,Blonde,3.08
